Method,Judgment,Latency
logos,0,33.77169060100313
logos,1,33.77169060100313
logos,2,2.674395139365432e-09
logos,3,2.674395139365432e-09
logos,4,2.674395139365432e-09
logos,5,2.674395139365432e-09
regression,0,33.77169060100313
regression,1,33.77169060100313
regression,2,3.3932979889403336
regression,3,3.3932979889403336
regression,4,3.3932979891693904
regression,5,2.671965414075153e-09
langmodel,0,33.77169060100313
langmodel,1,33.77169060100313
langmodel,2,33.77169060100313
langmodel,3,33.77169060100313
langmodel,4,33.77169060094182
langmodel,5,33.77169060094182
