Method,Judgment,Latency
logos,0,1.163583487020774
logos,1,1.163583487020774
logos,2,0.0
logos,3,0.0
logos,4,0.0
logos,5,0.0
regression,0,1.163583487020774
regression,1,0.16056159576720935
regression,2,0.14628216715499032
regression,3,0.012900194112289612
regression,4,0.012900194112289612
regression,5,0.012900194112289612
langmodel,0,1.163583487020774
langmodel,1,1.163583487020774
langmodel,2,1.0726641115169013
langmodel,3,1.0726641115169013
langmodel,4,1.0726641115169013
langmodel,5,1.0726641115169013
